player,position,number,nat.,url,marketValue
Unai Simón,Goalkeeper,25,Spain,https://www.transfermarkt.com/unai-simon/profil/spieler/262396,6.0
Iago Herrerín,Goalkeeper,13,Spain,https://www.transfermarkt.com/iago-herrerin/profil/spieler/71570,4.0
Álex Remiro,Goalkeeper,1,Spain,https://www.transfermarkt.com/alex-remiro/profil/spieler/212862,1.5
Hodei Oleaga,Goalkeeper,26,Spain,https://www.transfermarkt.com/hodei-oleaga/profil/spieler/338286,0.2
Iñigo Martínez,Centre-Back,4,Spain,https://www.transfermarkt.com/inigo-martinez/profil/spieler/158863,32.0
Yeray Álvarez,Centre-Back,5,Spain,https://www.transfermarkt.com/yeray-alvarez/profil/spieler/255488,25.0
Unai Núñez,Centre-Back,3,Spain,https://www.transfermarkt.com/unai-nunez/profil/spieler/338285,15.0
Xabi Etxeita,Centre-Back,unknown,Spain,https://www.transfermarkt.com/xabi-etxeita/profil/spieler/71559,2.0
Dani Vivian,Centre-Back,29,Spain,https://www.transfermarkt.com/dani-vivian/profil/spieler/524000,0.25
Yuri Berchiche,Left-Back,12,"['Spain', 'Algeria']",https://www.transfermarkt.com/yuri-berchiche/profil/spieler/61812,20.0
Mikel Balenziaga,Left-Back,24,Spain,https://www.transfermarkt.com/mikel-balenziaga/profil/spieler/85258,2.0
Cristian Ganea,Left-Back,2,"['Romania', 'Spain']",https://www.transfermarkt.com/cristian-ganea/profil/spieler/262117,1.0
Óscar de Marcos,Right-Back,18,Spain,https://www.transfermarkt.com/oscar-de-marcos/profil/spieler/96718,6.0
Ander Capa,Right-Back,21,Spain,https://www.transfermarkt.com/ander-capa/profil/spieler/197545,3.0
Iñigo Lekue,Right-Back,15,Spain,https://www.transfermarkt.com/inigo-lekue/profil/spieler/255501,2.0
Mikel San José,Defensive Midfield,6,Spain,https://www.transfermarkt.com/mikel-san-jose/profil/spieler/52469,7.5
Peru Nolaskoain,Defensive Midfield,31,Spain,https://www.transfermarkt.com/peru-nolaskoain/profil/spieler/447052,5.0
Mikel Vesga,Defensive Midfield,unknown,Spain,https://www.transfermarkt.com/mikel-vesga/profil/spieler/300168,4.0
Ander Iturraspe,Defensive Midfield,8,Spain,https://www.transfermarkt.com/ander-iturraspe/profil/spieler/71571,2.5
Beñat Etxebarria,Central Midfield,7,Spain,https://www.transfermarkt.com/benat-etxebarria/profil/spieler/40888,4.0
Dani García,Central Midfield,16,Spain,https://www.transfermarkt.com/dani-garcia/profil/spieler/178425,4.0
Unai López,Central Midfield,23,Spain,https://www.transfermarkt.com/unai-lopez/profil/spieler/192009,1.5
Mikel Rico,Central Midfield,17,Spain,https://www.transfermarkt.com/mikel-rico/profil/spieler/51474,0.8
Iker Muniain,Left Winger,10,Spain,https://www.transfermarkt.com/iker-muniain/profil/spieler/54235,15.0
Iñigo Córdoba,Left Winger,11,Spain,https://www.transfermarkt.com/inigo-cordoba/profil/spieler/251848,4.0
Iñigo Vicente,Left Winger,32,Spain,https://www.transfermarkt.com/inigo-vicente/profil/spieler/335216,1.0
Markel Susaeta,Right Winger,14,Spain,https://www.transfermarkt.com/markel-susaeta/profil/spieler/54245,6.0
Ibai Gómez,Right Winger,19,Spain,https://www.transfermarkt.com/ibai-gomez/profil/spieler/127837,4.0
Iñaki Williams,Centre-Forward,9,"['Spain', 'Ghana']",https://www.transfermarkt.com/inaki-williams/profil/spieler/255508,50.0
Raúl García,Centre-Forward,22,Spain,https://www.transfermarkt.com/raul-garcia/profil/spieler/34601,7.5
Kenan Kodro,Centre-Forward,2,"['Bosnia-Herzegovina', 'Spain']",https://www.transfermarkt.com/kenan-kodro/profil/spieler/197126,1.0
Sabin Merino,Centre-Forward,19,Spain,https://www.transfermarkt.com/sabin-merino/profil/spieler/192736,1.0
Aritz Aduriz,Centre-Forward,20,Spain,https://www.transfermarkt.com/aritz-aduriz/profil/spieler/29124,1.0
Gorka Guruzeta,Centre-Forward,30,Spain,https://www.transfermarkt.com/gorka-guruzeta/profil/spieler/340205,0.5
Jan Oblak,Goalkeeper,13,Slovenia,https://www.transfermarkt.com/jan-oblak/profil/spieler/121483,100.0
Antonio Adán,Goalkeeper,1,Spain,https://www.transfermarkt.com/antonio-adan/profil/spieler/44062,1.5
André Moreira,Goalkeeper,unknown,Portugal,https://www.transfermarkt.com/andre-moreira/profil/spieler/326363,0.8
Axel Werner,Goalkeeper,unknown,"['Argentina', 'Italy']",https://www.transfermarkt.com/axel-werner/profil/spieler/236734,0.6
Álex dos Santos,Goalkeeper,37,"['Brazil', 'Spain']",https://www.transfermarkt.com/alex-dos-santos/profil/spieler/396341,0.2
Lucas Hernández,Centre-Back,21,"['France', 'Spain']",https://www.transfermarkt.com/lucas-hernandez/profil/spieler/281963,70.0
José María Giménez,Centre-Back,24,"['Uruguay', 'Spain']",https://www.transfermarkt.com/jose-maria-gimenez/profil/spieler/250845,70.0
Stefan Savic,Centre-Back,15,"['Montenegro', 'Serbia']",https://www.transfermarkt.com/stefan-savic/profil/spieler/107010,35.0
Diego Godín,Centre-Back,2,"['Uruguay', 'Spain']",https://www.transfermarkt.com/diego-godin/profil/spieler/54928,20.0
Francisco Montero,Centre-Back,35,Spain,https://www.transfermarkt.com/francisco-montero/profil/spieler/396333,10.0
Nehuén Pérez,Centre-Back,18,Argentina,https://www.transfermarkt.com/nehuen-perez/profil/spieler/491693,2.5
Tachi,Centre-Back,36,Spain,https://www.transfermarkt.com/tachi/profil/spieler/354697,0.3
Filipe Luís,Left-Back,3,"['Brazil', 'Poland']",https://www.transfermarkt.com/filipe-luis/profil/spieler/21725,3.0
Manu Sánchez,Left-Back,54,Spain,https://www.transfermarkt.com/manu-sanchez/profil/spieler/618809,0.1
Sime Vrsaljko,Right-Back,unknown,Croatia,https://www.transfermarkt.com/sime-vrsaljko/profil/spieler/76061,20.0
Santiago Arias,Right-Back,4,Colombia,https://www.transfermarkt.com/santiago-arias/profil/spieler/120443,18.0
Juanfran Torres,Right-Back,20,Spain,https://www.transfermarkt.com/juanfran-torres/profil/spieler/16635,3.0
Andrés Solano,Right-Back,33,"['Colombia', 'Italy']",https://www.transfermarkt.com/andres-solano/profil/spieler/461618,0.2
Carlos Isaac,Right-Back,38,Spain,https://www.transfermarkt.com/carlos-isaac/profil/spieler/396324,0.2
Rodri,Defensive Midfield,14,Spain,https://www.transfermarkt.com/rodri/profil/spieler/357565,80.0
Thomas Partey,Defensive Midfield,5,Ghana,https://www.transfermarkt.com/thomas-partey/profil/spieler/230784,50.0
Gustavo Assunção,Defensive Midfield,57,"['Brazil', 'Portugal']",https://www.transfermarkt.com/gustavo-assuncao/profil/spieler/461629,0.1
Saúl Ñíguez,Central Midfield,8,Spain,https://www.transfermarkt.com/saul-niguez/profil/spieler/148928,90.0
Koke,Central Midfield,6,Spain,https://www.transfermarkt.com/koke/profil/spieler/74229,70.0
Roberto Olabe,Central Midfield,30,Spain,https://www.transfermarkt.com/roberto-olabe/profil/spieler/242299,0.8
Toni Moya,Central Midfield,43,Spain,https://www.transfermarkt.com/toni-moya/profil/spieler/295065,0.3
Cristian Rodríguez,Central Midfield,28,Spain,https://www.transfermarkt.com/cristian-rodriguez/profil/spieler/442802,0.25
