team,position,shirt_number,name,minutes_played,games_played,percentage_of_games_played,full_games_played,percentage_of_full_games_played,games_started,percentage_of_games_started,games_where_substituted,percentage_of_games_where_substituted,yellow_cards,red_cards,second_yellows,goals_scored,penalties_scored,own_goals,goals_conceded_while_player_on_pitch,tackles,interceptions,recoveries,clearances,successful_tackles,unssuccessful_tackles,last_man,successful_duels,duels_lost,successful_aerial_challenges,unsuccessful_aerial_challenges,offsides,fouls_suffered,fouls_committed,penalties_won,penalties_given_away,handballs_committed,fouls_committed_per_card,shots,shots_on_target,assists,successful_dribbles,unsuccessful_dribbles,goals_scored.1,from_inside_the_area,from_outside_the_area,goals_with_left_foot,goals_with_right_foot,penalties_scored.1,goals_scored_with_header,goals_from_set_piece,crosses,corners,tackles.1,duels,man-to-man_duels,aerial_duels,passes,short_passes,long_passes,through_balls,goals_scored_per_attempt
Athletic_Club,Goalkeeper,unknown,Hodei Oleaga,0.0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Athletic_Club,Goalkeeper,1.0,A. Remiro,0.0,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0
Athletic_Club,Goalkeeper,13.0,Herrerín,2.79,31,82.00%,31,82.00%,31,82.00%,0,0.00%,1,0,0,0,0,0,32,0,0,228,27,0,0,0,3,3,18,1,0,4,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,25,6,19,887.0,128.0,759,1,0
Athletic_Club,Goalkeeper,25.0,Unai Simón,630.0,7,18.00%,7,18.00%,7,18.00%,0,0.00%,2,0,0,0,0,0,13,0,1,54,3,0,0,0,0,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,155.0,49.0,106,0,0
Athletic_Club,Defender,3.0,Núñez,1.063,12,32.00%,11,29.00%,11,29.00%,1,3.00%,4,0,0,0,0,0,15,12,28,50,57,11,4,0,19,19,43,26,0,2,16,0,0,1,7,9,3,0,2,0,0,0,0,0,0,0,0,0,1,0,15,107,38,69,536.0,457.0,78,1,0
Athletic_Club,Defender,4.0,I. Martínez,2.903,33,87.00%,32,84.00%,33,87.00%,1,3.00%,12,0,0,0,0,0,40,14,68,182,143,26,27,0,108,54,94,73,0,55,38,2,3,1,21,21,4,0,4,1,0,0,0,0,0,0,0,0,15,0,53,329,162,167,1.44,1.074,361,5,0
Athletic_Club,Defender,5.0,Yeray,2.614,30,79.00%,28,74.00%,30,79.00%,2,5.00%,10,0,0,0,0,0,30,16,63,138,144,30,25,2,76,50,101,69,0,24,31,0,0,0,21,7,3,0,5,1,0,0,0,0,0,0,0,0,4,0,55,296,126,170,1.284,1.051,233,0,0
Athletic_Club,Defender,6.0,San José,1.716,33,87.00%,15,39.00%,16,42.00%,18,47.00%,7,0,0,0,0,0,23,6,21,99,34,25,17,0,52,89,66,36,2,8,34,0,0,0,16,11,3,0,5,7,0,0,0,0,0,0,0,0,11,0,42,243,141,102,707.0,637.0,64,6,0
Athletic_Club,Defender,12.0,Yuri B.,3.12,35,92.00%,33,87.00%,35,92.00%,2,5.00%,9,1,0,2,0,0,40,9,43,270,71,32,15,0,154,100,78,41,3,78,38,0,0,0,12,22,6,2,32,24,2,0,1,1,0,0,0,0,100,2,48,373,254,119,1.367,1.273,92,2,1
Athletic_Club,Defender,15.0,I. Lekue,210.0,4,11.00%,2,5.00%,2,5.00%,2,5.00%,1,0,0,0,0,0,4,0,4,11,10,2,3,0,10,10,5,4,0,3,1,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,0,10,2,5,29,20,9,85.0,75.0,10,0,0
