Team,GP,W,D,L,F,A,GD,P
FC_Barcelona,38,26,9,3,90,36,+54,87
Atlético_de_Madrid,38,22,10,6,55,29,+26,76
Real_Madrid,38,21,5,12,63,46,+17,68
Valencia_CF,38,15,16,7,51,35,+16,61
Getafe_CF,38,15,14,9,48,35,+13,59
Sevilla_FC,38,17,8,13,62,47,+15,59
RCD_Espanyol,38,14,11,13,48,50,-2,53
Athletic_Club,38,13,14,11,41,45,-4,53
Real_Sociedad,38,13,11,14,45,46,-1,50
Real_Betis,38,14,8,16,44,52,-8,50
D_Alavés,38,13,11,14,39,50,-11,50
SD_Eibar,38,11,14,13,46,50,-4,47
CD_Leganés,38,11,12,15,37,43,-6,45
Villarreal_CF,38,10,14,14,49,52,-3,44
Levante_UD,38,11,11,16,59,66,-7,44
R_Valladolid_CF,38,10,11,17,32,51,-19,41
RC_Celta,38,10,11,17,53,62,-9,41
Girona_FC,38,9,10,19,37,53,-16,37
SD_Huesca,38,7,12,19,43,65,-22,33
Rayo_Vallecano,38,8,8,22,41,70,-29,32
